ID	Gene Name	Species	GOTERM_BP_DIRECT
FASLG	Fas ligand(FASLG)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter;GO:0006351~transcription, DNA-templated;GO:0006915~apoptotic process;GO:0006919~activation of cysteine-type endopeptidase activity involved in apoptotic process;GO:0006925~inflammatory cell apoptotic process;GO:0006955~immune response;GO:0007165~signal transduction;GO:0007267~cell-cell signaling;GO:0008284~positive regulation of cell proliferation;GO:0008625~extrinsic apoptotic signaling pathway via death domain receptors;GO:0016525~negative regulation of angiogenesis;GO:0030644~cellular chloride ion homeostasis;GO:0032496~response to lipopolysaccharide;GO:0033209~tumor necrosis factor-mediated signaling pathway;GO:0043065~positive regulation of apoptotic process;GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling;GO:0043525~positive regulation of neuron apoptotic process;GO:0045742~positive regulation of epidermal growth factor receptor signaling pathway;GO:0046666~retinal cell programmed cell death;GO:0048388~endosomal lumen acidification;GO:0070231~T cell apoptotic process;GO:0070266~necroptotic process;GO:0070848~response to growth factor;GO:0097190~apoptotic signaling pathway;GO:0097191~extrinsic apoptotic signaling pathway;GO:0097296~activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway;GO:0097527~necroptotic signaling pathway;GO:1902041~regulation of extrinsic apoptotic signaling pathway via death domain receptors;GO:1902042~negative regulation of extrinsic apoptotic signaling pathway via death domain receptors;GO:2000353~positive regulation of endothelial cell apoptotic process,
FOSB	FosB proto-oncogene, AP-1 transcription factor subunit(FOSB)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter;GO:0006357~regulation of transcription from RNA polymerase II promoter;GO:0006366~transcription from RNA polymerase II promoter;GO:0007565~female pregnancy;GO:0009612~response to mechanical stimulus;GO:0032570~response to progesterone;GO:0032870~cellular response to hormone stimulus;GO:0042493~response to drug;GO:0043278~response to morphine;GO:0045944~positive regulation of transcription from RNA polymerase II promoter;GO:0051412~response to corticosterone;GO:0051591~response to cAMP;GO:0071277~cellular response to calcium ion,
GPS1	G protein pathway suppressor 1(GPS1)	Homo sapiens	GO:0000188~inactivation of MAPK activity;GO:0000715~nucleotide-excision repair, DNA damage recognition;GO:0006283~transcription-coupled nucleotide-excision repair;GO:0007049~cell cycle;GO:0007254~JNK cascade;GO:0010387~COP9 signalosome assembly;GO:0010388~cullin deneddylation;GO:0034260~negative regulation of GTPase activity,
GNAI1	G protein subunit alpha i1(GNAI1)	Homo sapiens	GO:0006457~protein folding;GO:0007049~cell cycle;GO:0007186~G-protein coupled receptor signaling pathway;GO:0007188~adenylate cyclase-modulating G-protein coupled receptor signaling pathway;GO:0007193~adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway;GO:0043434~response to peptide hormone;GO:0043949~regulation of cAMP-mediated signaling;GO:0050805~negative regulation of synaptic transmission;GO:0051301~cell division;GO:1904322~cellular response to forskolin,
GATA4	GATA binding protein 4(GATA4)	Homo sapiens	GO:0001947~heart looping;GO:0003197~endocardial cushion development;GO:0003208~cardiac ventricle morphogenesis;GO:0003215~cardiac right ventricle morphogenesis;GO:0003281~ventricular septum development;GO:0003289~atrial septum primum morphogenesis;GO:0003290~atrial septum secundum morphogenesis;GO:0006355~regulation of transcription, DNA-templated;GO:0006366~transcription from RNA polymerase II promoter;GO:0007267~cell-cell signaling;GO:0007492~endoderm development;GO:0007596~blood coagulation;GO:0008584~male gonad development;GO:0009612~response to mechanical stimulus;GO:0010507~negative regulation of autophagy;GO:0010575~positive regulation of vascular endothelial growth factor production;GO:0030513~positive regulation of BMP signaling pathway;GO:0033189~response to vitamin A;GO:0035054~embryonic heart tube anterior/posterior pattern specification;GO:0042493~response to drug;GO:0045165~cell fate commitment;GO:0045766~positive regulation of angiogenesis;GO:0045893~positive regulation of transcription, DNA-templated;GO:0045944~positive regulation of transcription from RNA polymerase II promoter;GO:0048468~cell development;GO:0048617~embryonic foregut morphogenesis;GO:0048646~anatomical structure formation involved in morphogenesis;GO:0051891~positive regulation of cardioblast differentiation;GO:0060290~transdifferentiation;GO:0060413~atrial septum morphogenesis;GO:0060575~intestinal epithelial cell differentiation;GO:0061049~cell growth involved in cardiac muscle cell development;GO:0071333~cellular response to glucose stimulus;GO:0086004~regulation of cardiac muscle cell contraction,
GIT1	GIT ArfGAP 1(GIT1)	Homo sapiens	GO:0008277~regulation of G-protein coupled receptor protein signaling pathway;GO:0032465~regulation of cytokinesis;GO:0043547~positive regulation of GTPase activity;GO:0048013~ephrin receptor signaling pathway,
GLI1	GLI family zinc finger 1(GLI1)	Homo sapiens	GO:0001649~osteoblast differentiation;GO:0006351~transcription, DNA-templated;GO:0007224~smoothened signaling pathway;GO:0007283~spermatogenesis;GO:0007418~ventral midline development;GO:0008284~positive regulation of cell proliferation;GO:0008589~regulation of smoothened signaling pathway;GO:0009611~response to wounding;GO:0009913~epidermal cell differentiation;GO:0009953~dorsal/ventral pattern formation;GO:0009954~proximal/distal pattern formation;GO:0021696~cerebellar cortex morphogenesis;GO:0021938~smoothened signaling pathway involved in regulation of cerebellar granule cell precursor cell proliferation;GO:0021983~pituitary gland development;GO:0030324~lung development;GO:0030335~positive regulation of cell migration;GO:0045667~regulation of osteoblast differentiation;GO:0045740~positive regulation of DNA replication;GO:0045880~positive regulation of smoothened signaling pathway;GO:0045893~positive regulation of transcription, DNA-templated;GO:0045944~positive regulation of transcription from RNA polymerase II promoter;GO:0048546~digestive tract morphogenesis;GO:0060032~notochord regression;GO:0060070~canonical Wnt signaling pathway;GO:0090090~negative regulation of canonical Wnt signaling pathway;GO:0097421~liver regeneration;GO:2000345~regulation of hepatocyte proliferation,
GLI2	GLI family zinc finger 2(GLI2)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter;GO:0001501~skeletal system development;GO:0001649~osteoblast differentiation;GO:0001701~in utero embryonic development;GO:0001822~kidney development;GO:0002062~chondrocyte differentiation;GO:0002076~osteoblast development;GO:0006366~transcription from RNA polymerase II promoter;GO:0007224~smoothened signaling pathway;GO:0007389~pattern specification process;GO:0007411~axon guidance;GO:0007418~ventral midline development;GO:0007442~hindgut morphogenesis;GO:0007507~heart development;GO:0008283~cell proliferation;GO:0008589~regulation of smoothened signaling pathway;GO:0009612~response to mechanical stimulus;GO:0009913~epidermal cell differentiation;GO:0009952~anterior/posterior pattern specification;GO:0009954~proximal/distal pattern formation;GO:0021508~floor plate formation;GO:0021513~spinal cord dorsal/ventral patterning;GO:0021517~ventral spinal cord development;GO:0021696~cerebellar cortex morphogenesis;GO:0021775~smoothened signaling pathway involved in ventral spinal cord interneuron specification;GO:0021776~smoothened signaling pathway involved in spinal cord motor neuron cell fate specification;GO:0021938~smoothened signaling pathway involved in regulation of cerebellar granule cell precursor cell proliferation;GO:0021965~spinal cord ventral commissure morphogenesis;GO:0021983~pituitary gland development;GO:0030324~lung development;GO:0030879~mammary gland development;GO:0030902~hindbrain development;GO:0032331~negative regulation of chondrocyte differentiation;GO:0033089~positive regulation of T cell differentiation in thymus;GO:0035295~tube development;GO:0042475~odontogenesis of dentin-containing tooth;GO:0042733~embryonic digit morphogenesis;GO:0043066~negative regulation of apoptotic process;GO:0045666~positive regulation of neuron differentiation;GO:0045740~positive regulation of DNA replication;GO:0045893~positive regulation of transcription, DNA-templated;GO:0045944~positive regulation of transcription from RNA polymerase II promoter;GO:0048566~embryonic digestive tract development;GO:0048589~developmental growth;GO:0048666~neuron development;GO:0048754~branching morphogenesis of an epithelial tube;GO:0060032~notochord regression;GO:0060513~prostatic bud formation;GO:0060603~mammary gland duct morphogenesis;GO:0060831~smoothened signaling pathway involved in dorsal/ventral neural tube patterning;GO:0071407~cellular response to organic cyclic compound;GO:0090103~cochlea morphogenesis;GO:0098586~cellular response to virus,
HMX1	H6 family homeobox 1(HMX1)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter;GO:0006351~transcription, DNA-templated;GO:0007275~multicellular organism development;GO:0045892~negative regulation of transcription, DNA-templated,
HTATIP2	HIV-1 Tat interactive protein 2(HTATIP2)	Homo sapiens	GO:0001525~angiogenesis;GO:0006357~regulation of transcription from RNA polymerase II promoter;GO:0006915~apoptotic process;GO:0016032~viral process;GO:0030154~cell differentiation;GO:0043066~negative regulation of apoptotic process;GO:0045765~regulation of angiogenesis;GO:0051170~nuclear import;GO:0055114~oxidation-reduction process,
HNF1A	HNF1 homeobox A(HNF1A)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter;GO:0001824~blastocyst development;GO:0001889~liver development;GO:0001890~placenta development;GO:0006338~chromatin remodeling;GO:0006357~regulation of transcription from RNA polymerase II promoter;GO:0006366~transcription from RNA polymerase II promoter;GO:0006633~fatty acid biosynthetic process;GO:0006699~bile acid biosynthetic process;GO:0006783~heme biosynthetic process;GO:0006979~response to oxidative stress;GO:0008203~cholesterol metabolic process;GO:0009749~response to glucose;GO:0015721~bile acid and bile salt transport;GO:0015908~fatty acid transport;GO:0016573~histone acetylation;GO:0030073~insulin secretion;GO:0030111~regulation of Wnt signaling pathway;GO:0030326~embryonic limb morphogenesis;GO:0031018~endocrine pancreas development;GO:0035565~regulation of pronephros size;GO:0035623~renal glucose absorption;GO:0042593~glucose homeostasis;GO:0043691~reverse cholesterol transport;GO:0045453~bone resorption;GO:0045893~positive regulation of transcription, DNA-templated;GO:0045944~positive regulation of transcription from RNA polymerase II promoter;GO:0046323~glucose import;GO:0048341~paraxial mesoderm formation;GO:0050796~regulation of insulin secretion;GO:0060261~positive regulation of transcription initiation from RNA polymerase II promoter;GO:0060395~SMAD protein signal transduction,
JAK2	Janus kinase 2(JAK2)	Homo sapiens	GO:0000165~MAPK cascade;GO:0000186~activation of MAPKK activity;GO:0002250~adaptive immune response;GO:0006468~protein phosphorylation;GO:0006915~apoptotic process;GO:0006919~activation of cysteine-type endopeptidase activity involved in apoptotic process;GO:0006928~movement of cell or subcellular component;GO:0007165~signal transduction;GO:0007167~enzyme linked receptor protein signaling pathway;GO:0007186~G-protein coupled receptor signaling pathway;GO:0007204~positive regulation of cytosolic calcium ion concentration;GO:0007259~JAK-STAT cascade;GO:0007260~tyrosine phosphorylation of STAT protein;GO:0007262~STAT protein import into nucleus;GO:0007498~mesoderm development;GO:0007596~blood coagulation;GO:0008285~negative regulation of cell proliferation;GO:0008631~intrinsic apoptotic signaling pathway in response to oxidative stress;GO:0010667~negative regulation of cardiac muscle cell apoptotic process;GO:0010811~positive regulation of cell-substrate adhesion;GO:0014068~positive regulation of phosphatidylinositol 3-kinase signaling;GO:0016477~cell migration;GO:0018108~peptidyl-tyrosine phosphorylation;GO:0019221~cytokine-mediated signaling pathway;GO:0022408~negative regulation of cell-cell adhesion;GO:0030041~actin filament polymerization;GO:0030154~cell differentiation;GO:0030218~erythrocyte differentiation;GO:0030335~positive regulation of cell migration;GO:0031103~axon regeneration;GO:0031959~mineralocorticoid receptor signaling pathway;GO:0032024~positive regulation of insulin secretion;GO:0032496~response to lipopolysaccharide;GO:0032516~positive regulation of phosphoprotein phosphatase activity;GO:0032731~positive regulation of interleukin-1 beta production;GO:0032760~positive regulation of tumor necrosis factor production;GO:0033160~positive regulation of protein import into nucleus, translocation;GO:0033194~response to hydroperoxide;GO:0033209~tumor necrosis factor-mediated signaling pathway;GO:0034612~response to tumor necrosis factor;GO:0035409~histone H3-Y41 phosphorylation;GO:0035556~intracellular signal transduction;GO:0035722~interleukin-12-mediated signaling pathway;GO:0038083~peptidyl-tyrosine autophosphorylation;GO:0042127~regulation of cell proliferation;GO:0042503~tyrosine phosphorylation of Stat3 protein;GO:0042506~tyrosine phosphorylation of Stat5 protein;GO:0042508~tyrosine phosphorylation of Stat1 protein;GO:0042517~positive regulation of tyrosine phosphorylation of Stat3 protein;GO:0042523~positive regulation of tyrosine phosphorylation of Stat5 protein;GO:0042977~activation of JAK2 kinase activity;GO:0042981~regulation of apoptotic process;GO:0043388~positive regulation of DNA binding;GO:0043392~negative regulation of DNA binding;GO:0043524~negative regulation of neuron apoptotic process;GO:0043547~positive regulation of GTPase activity;GO:0045087~innate immune response;GO:0045429~positive regulation of nitric oxide biosynthetic process;GO:0045597~positive regulation of cell differentiation;GO:0045822~negative regulation of heart contraction;GO:0046677~response to antibiotic;GO:0046777~protein autophosphorylation;GO:0048008~platelet-derived growth factor receptor signaling pathway;GO:0050727~regulation of inflammatory response;GO:0050729~positive regulation of inflammatory response;GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation;GO:0050867~positive regulation of cell activation;GO:0051091~positive regulation of sequence-specific DNA binding transcription factor activity;GO:0051770~positive regulation of nitric-oxide synthase biosynthetic process;GO:0060333~interferon-gamma-mediated signaling pathway;GO:0060334~regulation of interferon-gamma-mediated signaling pathway;GO:0060396~growth hormone receptor signaling pathway;GO:0060397~JAK-STAT cascade involved in growth hormone signaling pathway;GO:0060399~positive regulation of growth hormone receptor signaling pathway;GO:0061180~mammary gland epithelium development;GO:0070671~response to interleukin-12;GO:0097191~extrinsic apoptotic signaling pathway;GO:0097296~activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway;GO:1902728~positive regulation of growth factor dependent skeletal muscle satellite cell proliferation;GO:1904037~positive regulation of epithelial cell apoptotic process;GO:1904707~positive regulation of vascular smooth muscle cell proliferation,
